city,date,latitude,longitude,aqi,source
Coimbatore,2025-11-20,11.0168,76.9558,74.45,
Coimbatore,2025-11-21,11.0168,76.9558,97.64,
Coimbatore,2025-11-22,11.0168,76.9558,47.91,
Coimbatore,2025-11-23,11.0168,76.9558,29.55,
Coimbatore,2025-11-25,11.0168,76.9558,64.98,
Coimbatore,2025-11-26,11.0168,76.9558,60.81,
Coimbatore,2025-11-27,11.0168,76.9558,65.72,
Coimbatore,2025-11-28,11.0168,76.9558,92.1,
Coimbatore,2025-11-29,11.0168,76.9558,76.57,
Coimbatore,2025-11-30,11.0168,76.9558,87.74,
Coimbatore,2025-12-01,11.0168,76.9558,84.62,
Coimbatore,2025-12-02,11.0168,76.9558,72.21,
Coimbatore,2025-12-03,11.0168,76.9558,62.42,
Coimbatore,2025-12-04,11.0168,76.9558,67.53,
Coimbatore,2025-12-05,11.0168,76.9558,45.5,
Coimbatore,2025-12-06,11.0168,76.9558,42.58,
Coimbatore,2025-12-07,11.0168,76.9558,69.43,
Coimbatore,2025-12-08,11.0168,76.9558,109.91,
Coimbatore,2025-12-09,11.0168,76.9558,141.94,
Coimbatore,2025-12-10,11.0168,76.9558,106.77,
Coimbatore,2025-12-11,11.0168,76.9558,225.59,
Coimbatore,2025-12-12,11.0168,76.9558,227.13,
Coimbatore,2025-12-13,11.0168,76.9558,215.04,
Coimbatore,2025-12-14,11.0168,76.9558,202.45,
Coimbatore,2025-12-15,11.0168,76.9558,170.4,
Coimbatore,2025-12-16,11.0168,76.9558,187.02,
Coimbatore,2025-12-17,11.0168,76.9558,45.78,
Coimbatore,2025-12-18,11.0168,76.9558,50.39,
Coimbatore,2025-12-24,11.0168,76.9558,154.0,
Coimbatore,2025-12-25,11.0168,76.9558,100.0,
Coimbatore,2025-12-26,,,88.0,direct
Coimbatore,2026-01-04,,,107.0,direct
Coimbatore,2026-01-07,,,122.0,direct
