city,date,latitude,longitude,aqi,source
Erode,2025-11-18,11.341,77.7172,45.14,
Erode,2025-11-19,11.341,77.7172,60.96,
Erode,2025-11-20,11.341,77.7172,86.28,
Erode,2025-11-21,11.341,77.7172,64.28,
Erode,2025-11-22,11.341,77.7172,29.39,
Erode,2025-11-23,11.341,77.7172,20.63,
Erode,2025-11-24,11.341,77.7172,28.54,
Erode,2025-11-25,11.341,77.7172,47.32,
Erode,2025-11-26,11.341,77.7172,55.57,
Erode,2025-11-27,11.341,77.7172,70.67,
Erode,2025-11-28,11.341,77.7172,112.8,
Erode,2025-11-29,11.341,77.7172,55.51,
Erode,2025-11-30,11.341,77.7172,54.28,
Erode,2025-12-01,11.341,77.7172,79.21,
Erode,2025-12-02,11.341,77.7172,96.5,
Erode,2025-12-03,11.341,77.7172,74.07,
Erode,2025-12-04,11.341,77.7172,59.6,
Erode,2025-12-05,11.341,77.7172,32.47,
Erode,2025-12-06,11.341,77.7172,56.26,
Erode,2025-12-07,11.341,77.7172,86.22,
Erode,2025-12-08,11.341,77.7172,128.32,
Erode,2025-12-09,11.341,77.7172,177.87,
Erode,2025-12-10,11.341,77.7172,135.92,
Erode,2025-12-11,11.341,77.7172,191.75,
Erode,2025-12-12,11.341,77.7172,223.58,
Erode,2025-12-13,11.341,77.7172,190.76,
Erode,2025-12-14,11.341,77.7172,210.09,
Erode,2025-12-15,11.341,77.7172,195.42,
Erode,2025-12-16,11.341,77.7172,114.64,
Erode,2025-12-17,11.341,77.7172,25.87,
Erode,2025-12-18,11.341,77.7172,58.47,
Erode,2025-12-25,,,20.0,nearest:Salem
Erode,2025-12-26,,,37.0,nearest:Salem
Erode,2026-01-04,,,5.0,nearest:Salem
Erode,2026-01-07,,,10.0,nearest:Salem
Erode,2026-01-08,,,13.0,nearest:Salem
