city,date,latitude,longitude,aqi,source
Karur,2025-11-18,10.9601,78.0766,61.65,
Karur,2025-11-19,10.9601,78.0766,51.24,
Karur,2025-11-20,10.9601,78.0766,74.63,
Karur,2025-11-21,10.9601,78.0766,50.74,
Karur,2025-11-22,10.9601,78.0766,26.92,
Karur,2025-11-23,10.9601,78.0766,18.44,
Karur,2025-11-24,10.9601,78.0766,25.38,
Karur,2025-11-25,10.9601,78.0766,42.72,
Karur,2025-11-26,10.9601,78.0766,48.23,
Karur,2025-11-27,10.9601,78.0766,78.33,
Karur,2025-11-28,10.9601,78.0766,138.64,
Karur,2025-11-29,10.9601,78.0766,83.05,
Karur,2025-11-30,10.9601,78.0766,74.46,
Karur,2025-12-01,10.9601,78.0766,98.07,
Karur,2025-12-02,10.9601,78.0766,146.21,
Karur,2025-12-03,10.9601,78.0766,88.67,
Karur,2025-12-04,10.9601,78.0766,60.48,
Karur,2025-12-05,10.9601,78.0766,30.0,
Karur,2025-12-06,10.9601,78.0766,47.37,
Karur,2025-12-07,10.9601,78.0766,78.11,
Karur,2025-12-08,10.9601,78.0766,154.74,
Karur,2025-12-09,10.9601,78.0766,174.29,
Karur,2025-12-10,10.9601,78.0766,127.41,
Karur,2025-12-11,10.9601,78.0766,220.13,
Karur,2025-12-12,10.9601,78.0766,226.99,
Karur,2025-12-13,10.9601,78.0766,158.15,
Karur,2025-12-14,10.9601,78.0766,202.79,
Karur,2025-12-15,10.9601,78.0766,199.43,
Karur,2025-12-16,10.9601,78.0766,109.85,
Karur,2025-12-17,10.9601,78.0766,19.53,
Karur,2025-12-18,10.9601,78.0766,61.74,
Karur,2025-12-25,,,51.0,nearest:Dindigul
Karur,2025-12-26,,,51.0,nearest:Dindigul
Karur,2026-01-04,,,29.0,nearest:Dindigul
Karur,2026-01-07,,,56.0,nearest:Dindigul
Karur,2026-01-08,,,29.0,nearest:Dindigul
Karur,2026-01-09,,,29.0,nearest:Dindigul
