city,date,latitude,longitude,aqi,source
Madurai,2025-11-18,9.9252,78.1198,42.42,
Madurai,2025-11-19,9.9252,78.1198,30.67,
Madurai,2025-11-20,9.9252,78.1198,77.66,
Madurai,2025-11-21,9.9252,78.1198,45.67,
Madurai,2025-11-22,9.9252,78.1198,18.33,
Madurai,2025-11-23,9.9252,78.1198,15.66,
Madurai,2025-11-24,9.9252,78.1198,21.11,
Madurai,2025-11-25,9.9252,78.1198,45.75,
Madurai,2025-11-26,9.9252,78.1198,56.82,
Madurai,2025-11-27,9.9252,78.1198,82.26,
Madurai,2025-11-28,9.9252,78.1198,77.0,
Madurai,2025-11-29,9.9252,78.1198,63.3,
Madurai,2025-11-30,9.9252,78.1198,78.64,
Madurai,2025-12-01,9.9252,78.1198,70.52,
Madurai,2025-12-02,9.9252,78.1198,76.9,
Madurai,2025-12-03,9.9252,78.1198,71.61,
Madurai,2025-12-04,9.9252,78.1198,48.51,
Madurai,2025-12-05,9.9252,78.1198,24.65,
Madurai,2025-12-06,9.9252,78.1198,33.41,
Madurai,2025-12-07,9.9252,78.1198,46.84,
Madurai,2025-12-08,9.9252,78.1198,141.19,
Madurai,2025-12-09,9.9252,78.1198,106.09,
Madurai,2025-12-10,9.9252,78.1198,123.64,
Madurai,2025-12-11,9.9252,78.1198,210.42,
Madurai,2025-12-12,9.9252,78.1198,193.86,
Madurai,2025-12-13,9.9252,78.1198,165.33,
Madurai,2025-12-14,9.9252,78.1198,131.9,
Madurai,2025-12-15,9.9252,78.1198,146.08,
Madurai,2025-12-16,9.9252,78.1198,84.67,
Madurai,2025-12-17,9.9252,78.1198,13.75,
Madurai,2025-12-18,9.9252,78.1198,55.45,
Madurai,2025-12-25,,,51.0,nearest:Dindigul
Madurai,2025-12-26,,,51.0,nearest:Dindigul
Madurai,2026-01-04,,,29.0,nearest:Dindigul
Madurai,2026-01-07,,,56.0,nearest:Dindigul
Madurai,2026-01-08,,,29.0,nearest:Dindigul
Madurai,2026-01-09,,,29.0,nearest:Dindigul
