city,date,latitude,longitude,aqi,source
Nagercoil,2025-11-18,8.1833,77.4119,15.98,
Nagercoil,2025-11-19,8.1833,77.4119,10.37,
Nagercoil,2025-11-20,8.1833,77.4119,39.67,
Nagercoil,2025-11-21,8.1833,77.4119,33.98,
Nagercoil,2025-11-22,8.1833,77.4119,19.83,
Nagercoil,2025-11-23,8.1833,77.4119,10.8,
Nagercoil,2025-11-24,8.1833,77.4119,10.64,
Nagercoil,2025-11-25,8.1833,77.4119,26.95,
Nagercoil,2025-11-26,8.1833,77.4119,9.81,
Nagercoil,2025-11-27,8.1833,77.4119,27.75,
Nagercoil,2025-11-28,8.1833,77.4119,16.54,
Nagercoil,2025-11-29,8.1833,77.4119,46.35,
Nagercoil,2025-11-30,8.1833,77.4119,44.03,
Nagercoil,2025-12-01,8.1833,77.4119,54.97,
Nagercoil,2025-12-02,8.1833,77.4119,93.44,
Nagercoil,2025-12-03,8.1833,77.4119,59.58,
Nagercoil,2025-12-04,8.1833,77.4119,31.95,
Nagercoil,2025-12-05,8.1833,77.4119,12.32,
Nagercoil,2025-12-06,8.1833,77.4119,13.59,
Nagercoil,2025-12-07,8.1833,77.4119,17.98,
Nagercoil,2025-12-08,8.1833,77.4119,77.39,
Nagercoil,2025-12-09,8.1833,77.4119,62.78,
Nagercoil,2025-12-10,8.1833,77.4119,77.35,
Nagercoil,2025-12-11,8.1833,77.4119,127.87,
Nagercoil,2025-12-12,8.1833,77.4119,117.13,
Nagercoil,2025-12-13,8.1833,77.4119,151.66,
Nagercoil,2025-12-14,8.1833,77.4119,87.97,
Nagercoil,2025-12-15,8.1833,77.4119,97.32,
Nagercoil,2025-12-16,8.1833,77.4119,73.82,
Nagercoil,2025-12-17,8.1833,77.4119,7.41,
Nagercoil,2025-12-18,8.1833,77.4119,26.28,
Nagercoil,2025-12-25,,,73.0,nearest:Thoothukudi
Nagercoil,2025-12-26,,,40.0,nearest:Thoothukudi
Nagercoil,2026-01-04,,,56.0,nearest:Thoothukudi
Nagercoil,2026-01-07,,,68.0,nearest:Thoothukudi
