city,date,latitude,longitude,aqi,source
Ooty,2025-11-20,11.4102,76.695,93.61,
Ooty,2025-11-21,11.4102,76.695,96.66,
Ooty,2025-11-22,11.4102,76.695,44.62,
Ooty,2025-11-23,11.4102,76.695,27.16,
Ooty,2025-11-24,11.4102,76.695,27.69,
Ooty,2025-11-25,11.4102,76.695,67.31,
Ooty,2025-11-26,11.4102,76.695,73.52,
Ooty,2025-11-27,11.4102,76.695,75.0,
Ooty,2025-11-28,11.4102,76.695,77.04,
Ooty,2025-11-29,11.4102,76.695,79.55,
Ooty,2025-11-30,11.4102,76.695,82.76,
Ooty,2025-12-01,11.4102,76.695,84.62,
Ooty,2025-12-02,11.4102,76.695,66.08,
Ooty,2025-12-03,11.4102,76.695,55.31,
Ooty,2025-12-04,11.4102,76.695,78.77,
Ooty,2025-12-05,11.4102,76.695,39.75,
Ooty,2025-12-06,11.4102,76.695,37.63,
Ooty,2025-12-07,11.4102,76.695,69.82,
Ooty,2025-12-08,11.4102,76.695,80.68,
Ooty,2025-12-09,11.4102,76.695,189.74,
Ooty,2025-12-10,11.4102,76.695,119.6,
Ooty,2025-12-11,11.4102,76.695,221.33,
Ooty,2025-12-12,11.4102,76.695,218.59,
Ooty,2025-12-13,11.4102,76.695,227.67,
Ooty,2025-12-14,11.4102,76.695,192.76,
Ooty,2025-12-15,11.4102,76.695,137.54,
Ooty,2025-12-16,11.4102,76.695,134.11,
Ooty,2025-12-17,11.4102,76.695,44.62,
Ooty,2025-12-18,11.4102,76.695,53.77,
Ooty,2025-12-25,11.4102,76.695,53.77,






