city,date,latitude,longitude,aqi,source
Thanjavur,2025-11-18,10.7867,79.1378,28.27,
Thanjavur,2025-11-19,10.7867,79.1378,41.08,
Thanjavur,2025-11-20,10.7867,79.1378,103.61,
Thanjavur,2025-11-21,10.7867,79.1378,36.53,
Thanjavur,2025-11-22,10.7867,79.1378,10.24,
Thanjavur,2025-11-23,10.7867,79.1378,9.87,
Thanjavur,2025-11-24,10.7867,79.1378,27.46,
Thanjavur,2025-11-25,10.7867,79.1378,78.42,
Thanjavur,2025-11-26,10.7867,79.1378,67.99,
Thanjavur,2025-11-27,10.7867,79.1378,108.63,
Thanjavur,2025-11-28,10.7867,79.1378,74.04,
Thanjavur,2025-11-29,10.7867,79.1378,34.6,
Thanjavur,2025-11-30,10.7867,79.1378,63.2,
Thanjavur,2025-12-01,10.7867,79.1378,77.87,
Thanjavur,2025-12-02,10.7867,79.1378,60.76,
Thanjavur,2025-12-03,10.7867,79.1378,50.7,
Thanjavur,2025-12-04,10.7867,79.1378,24.73,
Thanjavur,2025-12-05,10.7867,79.1378,39.23,
Thanjavur,2025-12-06,10.7867,79.1378,53.08,
Thanjavur,2025-12-07,10.7867,79.1378,88.16,
Thanjavur,2025-12-08,10.7867,79.1378,203.58,
Thanjavur,2025-12-09,10.7867,79.1378,135.94,
Thanjavur,2025-12-10,10.7867,79.1378,248.53,
Thanjavur,2025-12-11,10.7867,79.1378,281.28,
Thanjavur,2025-12-12,10.7867,79.1378,285.62,
Thanjavur,2025-12-13,10.7867,79.1378,180.15,
Thanjavur,2025-12-14,10.7867,79.1378,156.05,
Thanjavur,2025-12-15,10.7867,79.1378,178.4,
Thanjavur,2025-12-16,10.7867,79.1378,82.73,
Thanjavur,2025-12-17,10.7867,79.1378,21.65,
Thanjavur,2025-12-18,10.7867,79.1378,191.53,
Thanjavur,2025-12-25,,,51.0,nearest:Dindigul
