city,date,latitude,longitude,aqi,source
Tirunelveli,2025-11-18,8.7139,77.7567,27.31,
Tirunelveli,2025-11-19,8.7139,77.7567,16.69,
Tirunelveli,2025-11-20,8.7139,77.7567,53.01,
Tirunelveli,2025-11-21,8.7139,77.7567,40.99,
Tirunelveli,2025-11-22,8.7139,77.7567,19.38,
Tirunelveli,2025-11-23,8.7139,77.7567,12.57,
Tirunelveli,2025-11-24,8.7139,77.7567,13.11,
Tirunelveli,2025-11-25,8.7139,77.7567,32.08,
Tirunelveli,2025-11-26,8.7139,77.7567,22.46,
Tirunelveli,2025-11-27,8.7139,77.7567,39.45,
Tirunelveli,2025-11-28,8.7139,77.7567,30.76,
Tirunelveli,2025-11-29,8.7139,77.7567,44.04,
Tirunelveli,2025-11-30,8.7139,77.7567,54.89,
Tirunelveli,2025-12-01,8.7139,77.7567,65.79,
Tirunelveli,2025-12-02,8.7139,77.7567,96.27,
Tirunelveli,2025-12-03,8.7139,77.7567,62.33,
Tirunelveli,2025-12-04,8.7139,77.7567,36.73,
Tirunelveli,2025-12-05,8.7139,77.7567,14.55,
Tirunelveli,2025-12-06,8.7139,77.7567,18.45,
Tirunelveli,2025-12-07,8.7139,77.7567,24.27,
Tirunelveli,2025-12-08,8.7139,77.7567,90.52,
Tirunelveli,2025-12-09,8.7139,77.7567,71.99,
Tirunelveli,2025-12-10,8.7139,77.7567,96.29,
Tirunelveli,2025-12-11,8.7139,77.7567,163.72,
Tirunelveli,2025-12-12,8.7139,77.7567,152.23,
Tirunelveli,2025-12-13,8.7139,77.7567,146.8,
Tirunelveli,2025-12-14,8.7139,77.7567,96.19,
Tirunelveli,2025-12-15,8.7139,77.7567,105.64,
Tirunelveli,2025-12-16,8.7139,77.7567,78.77,
Tirunelveli,2025-12-17,8.7139,77.7567,8.87,
Tirunelveli,2025-12-18,8.7139,77.7567,28.12,
Tirunelveli,2025-12-25,,,73.0,nearest:Thoothukudi
Tirunelveli,2025-12-26,,,40.0,nearest:Thoothukudi
